,text,sentimen,clean_teks
0,Hotel dengan kamar yang besar dan bersih.,positif,hotel kamar bersih
1,"Staff ramah, makanan enak. Lokasinya strategis.",positif,staff ramah makan enak lokasi strategis
2,Setiap ke Bandung selalu nginep di hotel ini. Fasilitas nya oke banget. Makanannya juga bervariasi dan enak-enak semua.,positif,bandung nginep hotel fasilitas nya oke banget makan variasi enakenak
3,"Pelayanan ramah, lokasi strategis dekat dengan Braga, ada mini mart 24 jam di hotel jadi mudah KL membutuhkan makanan, kamar bersih dan Alhamdulillah mendapatkan best view",positif,layan ramah lokasi strategis braga mini mart jam hotel mudah kl butuh makan kamar bersih alhamdulillah best view
4,"Menginap di sini saat hotel-hotel pada full booked karena banyak event. Kamar luas banget. Makanan enak-enak. Tapi karena tamu hotel full, harus milih sesi sarapan. Restoran di lantai atas saat jumat jadi mesjid yang luas banget. Deket dari pusat kuliner dan perbelanjaan.",positif,inap hotelhotel full booked event kamar luas banget makan enakenak tamu hotel full milih sesi sarap restoran lantai jumat mesjid luas banget deket pusat kuliner belanja
5,"Pelayanan bagus, hotelnya bagus, makanan enak.",positif,layan bagus hotel bagus makan enak
6,"Ruangan luas, bersih dan nyaman dengan 2 kamar tidur cocok untuk keluarga saya dengan 3 anak.",positif,ruang luas bersih nyaman kamar tidur cocok keluarga anak
7,"Hotel ter-the best, beberapa kali nginep di sini selalu terkesan. Terutama kids friendly.",positif,hotel terthe best kali nginep kes kids friendly
8,"Housekeeping cepat tanggap saat kami membutuhkan pergantian seprei (karena ada yang masuk angin, sehingga mengotori seprei). Staffnya semua ramah-ramah dan menyenangkan.",positif,housekeeping cepat tanggap butuh ganti seprei masuk angin kotor seprei staffnya ramahramah senang
9,"Overall Nice. Hotel nya nyaman, Kamar nya Nyaman, Pilihan Makanan nya Nyaman. Cuma sayang nya Anak ku umur 5 tahun, dikenakan biaga sarapan 75.000 rupiah. Aku mesan 2 kamar tipe Studio king.",positif,overall nice hotel nya nyaman kamar nya nyaman pilih makan nya nyaman sayang nya anak ku umur kena biaga sarap rupiah mesan kamar tipe studio king
10,"Tempatnya strategis di pusat kota Bandung, dekat kemana-mana.",negatif,tempat strategis pusat kota bandung kemanamana
11,"Hotelnya homey, fasilitas lengkap, ada mini market di bawah, akses kemana-mana mudah. Thanks",positif,hotel homey fasilitas lengkap mini market akses kemanamana mudah thanks
12,Hotel bagus dan makanan lengkap.,positif,hotel bagus makan lengkap
13,Menyenangkan. Kamar Luas Bersih Dan Nyaman. Pelayanan Ramah. Breakfast buffet menu lengkap Dan enak. Parkir Luas. Kolam Renang Bersih Dan Besar. Gym 👌. Next nginap di sini lagi.,positif,senang kamar luas bersih nyaman layan ramah breakfast buffet menu lengkap enak parkir luas kolam renang bersih gym next nginap
14,Salah satu tempat staycation terbaik kalo kamu mau kebandung. Dekat dengan braga cukup jalan kaki sekitar 100m. Kamarnya luas. Stafnya super ramah. Makanannya enak semua. Keamanan yang oke. Kuylah,positif,salah staycation baik kalo bandung braga jalan kaki m kamar luas staf super ramah makan enak aman oke kuylah
15,"Check in nya cepet bangeett dan alhamdulillah dapet free upgrade kamar. Deket ke pusat kota, rasa makanannya enaakk tp sayang kurang variasi aja, stafnya ramah semua. Area pool nya bersih dan staff pool nya siaga trsjd merasa lebih aman, kamar bersih cuma kurang wangi aja barangkali bisa ditambah pewangi ruangan. Overall ini salah satu hotel recommended untuk yang mau nginep deket pusat kota",positif,check in nya cepet bangeett alhamdulillah dapet free upgrade kamar deket pusat kota makan enaakk tp sayang variasi aja staf ramah area pool nya bersih staff pool nya siaga trsjd aman kamar bersih wangi aja barangkali tambah wangi ruang overall salah hotel recommended nginep deket pusat kota
16,Sangat menyenangkan sekali menginap di sini.,positif,senang inap
17,"Kamarnya bersih, nyaman, makanan nya enak.",positif,kamar bersih nyaman makan nya enak
18,Sangat menyenangkan sekalii.,positif,senang sekali
