text,clean_text,translated_text,subjektivitas,polaritas,sentimen
Hotel dengan kamar yang besar dan bersih.,hotel dengan kamar yang besar dan bersih.,hotel with large and clean rooms.,0.5642857142857143,0.2904761904761905,positif
"Staff ramah, makanan enak. Lokasinya strategis.","staff ramah, makanan enak. lokasinya strategis.","friendly staff, delicious food. strategic location.",0.75,0.6875,positif
Setiap ke Bandung selalu nginep di hotel ini. Fasilitas nya oke banget. Makanannya juga bervariasi dan enak-enak semua.,setiap ke bandung selalu nginep di hotel ini. fasilitas nya oke banget. makanannya juga bervariasi dan enak-enak semua.,every time i go to bandung i always stay at this hotel. the facilities are really good. the food is also varied and all delicious.,0.8,0.85,positif
"Pelayanan ramah, lokasi strategis dekat dengan Braga, ada mini mart 24 jam di hotel jadi mudah KL membutuhkan makanan, kamar bersih dan Alhamdulillah mendapatkan best view","pelayanan ramah, lokasi strategis dekat dengan braga, ada mini mart 24 jam di hotel jadi mudah kl membutuhkan makanan, kamar bersih dan alhamdulillah mendapatkan best view","friendly service, strategic location close to braga, there is a 24 hour mini mart in the hotel so it's easy if you need food, the rooms are clean and thank god you get the best view",0.5833333333333334,0.54375,positif
"Menginap di sini saat hotel-hotel pada full booked karena banyak event. Kamar luas banget. Makanan enak-enak. Tapi karena tamu hotel full, harus milih sesi sarapan. Restoran di lantai atas saat jumat jadi mesjid yang luas banget. Deket dari pusat kuliner dan perbelanjaan.","menginap di sini saat hotel-hotel pada full booked karena banyak event. kamar luas banget. makanan enak-enak. tapi karena tamu hotel full, harus milih sesi sarapan. restoran di lantai atas saat jumat jadi mesjid yang luas banget. deket dari pusat kuliner dan perbelanjaan.","stay here when the hotels are fully booked because there are lots of events. very spacious room. delicious food. but because the hotel guests were full, you had to choose the breakfast session. the restaurant on the top floor on fridays becomes a very large mosque. close to culinary and shopping centers.",0.4845238095238096,0.38809523809523805,positif
"Pelayanan bagus, hotelnya bagus, makanan enak.","pelayanan bagus, hotelnya bagus, makanan enak.","good service, good hotel, good food.",0.6000000000000001,0.6999999999999998,positif
"Ruangan luas, bersih dan nyaman dengan 2 kamar tidur cocok untuk keluarga saya dengan 3 anak.","ruangan luas, bersih dan nyaman dengan 2 kamar tidur cocok untuk keluarga saya dengan 3 anak.","spacious, clean and comfortable room with 2 bedrooms suitable for my family with 3 children.",0.75,0.43888888888888894,positif
"Hotel ter-the best, beberapa kali nginep di sini selalu terkesan. Terutama kids friendly.","hotel ter-the best, beberapa kali nginep di sini selalu terkesan. terutama kids friendly.","the best hotel, i have stayed here several times, always impressed. especially kids friendly.",0.5599999999999999,0.475,positif
"Housekeeping cepat tanggap saat kami membutuhkan pergantian seprei (karena ada yang masuk angin, sehingga mengotori seprei). Staffnya semua ramah-ramah dan menyenangkan.","housekeeping cepat tanggap saat kami membutuhkan pergantian seprei (karena ada yang masuk angin, sehingga mengotori seprei). staffnya semua ramah-ramah dan menyenangkan.","housekeeping was quick to respond when we needed the sheets changed (because someone had caught a cold, which dirty the sheets). the staff are all friendly and pleasant.",0.7533333333333333,0.04833333333333332,positif
"Overall Nice. Hotel nya nyaman, Kamar nya Nyaman, Pilihan Makanan nya Nyaman. Cuma sayang nya Anak ku umur 5 tahun, dikenakan biaga sarapan 75.000 rupiah. Aku mesan 2 kamar tipe Studio king.","overall nice. hotel nya nyaman, kamar nya nyaman, pilihan makanan nya nyaman. cuma sayang nya anak ku umur 5 tahun, dikenakan biaga sarapan 75.000 rupiah. aku mesan 2 kamar tipe studio king.","overall nice. the hotel is comfortable, the rooms are comfortable, the food choices are comfortable. it's just a shame that my 5 year old child is charged 75,000 rupiah for breakfast. i ordered 2 king studio type rooms.",0.6000000000000001,0.31666666666666665,positif
"Tempatnya strategis di pusat kota Bandung, dekat kemana-mana.","tempatnya strategis di pusat kota bandung, dekat kemana-mana.","strategic location in the center of bandung city, close to everywhere.",0.1,-0.1,negatif
"Hotelnya homey, fasilitas lengkap, ada mini market di bawah, akses kemana-mana mudah. Thanks","hotelnya homey, fasilitas lengkap, ada mini market di bawah, akses kemana-mana mudah. thanks","the hotel is homey, complete facilities, there is a mini market downstairs, easy access everywhere. thanks",0.4777777777777778,0.24444444444444446,positif
Hotel bagus dan makanan lengkap.,hotel bagus dan makanan lengkap.,good hotel and complete food.,0.5,0.39999999999999997,positif
Menyenangkan. Kamar Luas Bersih Dan Nyaman. Pelayanan Ramah. Breakfast buffet menu lengkap Dan enak. Parkir Luas. Kolam Renang Bersih Dan Besar. Gym 👌. Next nginap di sini lagi.,menyenangkan. kamar luas bersih dan nyaman. pelayanan ramah. breakfast buffet menu lengkap dan enak. parkir luas. kolam renang bersih dan besar. gym 👌. next nginap di sini lagi.,pleasant. spacious rooms clean and comfortable. friendly service. breakfast buffet menu is complete and delicious. spacious parking. the swimming pool is clean and big. gym 👌. next stay here again.,0.5740740740740741,0.3712962962962963,positif
Salah satu tempat staycation terbaik kalo kamu mau kebandung. Dekat dengan braga cukup jalan kaki sekitar 100m. Kamarnya luas. Stafnya super ramah. Makanannya enak semua. Keamanan yang oke. Kuylah,salah satu tempat staycation terbaik kalo kamu mau kebandung. dekat dengan braga cukup jalan kaki sekitar 100m. kamarnya luas. stafnya super ramah. makanannya enak semua. keamanan yang oke. kuylah,"one of the best staycation places if you want to go to bandung. close to braga, just walk about 100m. the room is spacious. the staff is super friendly. the food is all delicious. ok security. kuylah",0.5933333333333334,0.6416666666666666,positif
"Check in nya cepet bangeett dan alhamdulillah dapet free upgrade kamar. Deket ke pusat kota, rasa makanannya enaakk tp sayang kurang variasi aja, stafnya ramah semua. Area pool nya bersih dan staff pool nya siaga trsjd merasa lebih aman, kamar bersih cuma kurang wangi aja barangkali bisa ditambah pewangi ruangan. Overall ini salah satu hotel recommended untuk yang mau nginep deket pusat kota","check in nya cepet bangeett dan alhamdulillah dapet free upgrade kamar. deket ke pusat kota, rasa makanannya enaakk tp sayang kurang variasi aja, stafnya ramah semua. area pool nya bersih dan staff pool nya siaga trsjd merasa lebih aman, kamar bersih cuma kurang wangi aja barangkali bisa ditambah pewangi ruangan. overall ini salah satu hotel recommended untuk yang mau nginep deket pusat kota","check in was really fast and thank god i got a free room upgrade. close to the city center, the food tastes good but it's a shame there's not enough variety, the staff are all friendly. the pool area is clean and the pool staff is on standby so it makes you feel safer, the rooms are clean but don't smell good, maybe you could add air freshener. overall, this is one of the recommended hotels for those who want to stay near the city center",0.4666666666666666,0.2506944444444445,positif
Sangat menyenangkan sekali menginap di sini.,sangat menyenangkan sekali menginap di sini.,it was very enjoyable staying here.,0.78,0.65,positif
"Kamarnya bersih, nyaman, makanan nya enak.","kamarnya bersih, nyaman, makanan nya enak.","the rooms are clean, comfortable, the food is delicious.",0.8333333333333334,0.5888888888888889,positif
Sangat menyenangkan sekalii.,sangat menyenangkan sekalii.,very enjoyable.,0.78,0.65,positif
"Staff hotel ramah sangat membantu saat check-in, Hotel nyaman bersih ramah keluarga. Makanan enak, menu banyak varian. Ada minimarket yang lengkap di dalam hotel, jadi ndak usah keluar kalo mau beli keperluan ataupun makanan ringan. Lokasi dekat dengan jalan braga, BIP.","staff hotel ramah sangat membantu saat check-in, hotel nyaman bersih ramah keluarga. makanan enak, menu banyak varian. ada minimarket yang lengkap di dalam hotel, jadi ndak usah keluar kalo mau beli keperluan ataupun makanan ringan. lokasi dekat dengan jalan braga, bip.","friendly hotel staff very helpful at check-in, comfortable clean family friendly hotel. delicious food, many variations on the menu. there is a complete minimarket inside the hotel, so you don't have to go out if you want to buy necessities or snacks. location close to jalan braga, beep.",0.5875000000000001,0.41458333333333336,positif
"Lokasi deket jalan Braga kebersihan n kenyaman ok, next nginep lagi di sini.","lokasi deket jalan braga kebersihan n kenyaman ok, next nginep lagi di sini.","the location is near jalan braga, cleanliness and comfort are ok, next time i will stay here.",0.3,0.19999999999999998,positif
"Staf hotel sangat ramah, dapet upgrade kamar yang lebih besar sering-sering aja ya El 😁. Tiap kebandung pasti minapnya di sini. Terima kasih El hotel next pasti minap di sini lagi.","staf hotel sangat ramah, dapet upgrade kamar yang lebih besar sering-sering aja ya el 😁. tiap kebandung pasti minapnya di sini. terima kasih el hotel next pasti minap di sini lagi.","the hotel staff is very friendly, you can upgrade to a bigger room often, ok 😁. every time you come to bandung you will definitely stay here. thank you el next hotel will definitely stay here again.",0.44166666666666665,0.16458333333333333,positif
Staff nya ramah dan harga yang sangat memuaskan.,staff nya ramah dan harga yang sangat memuaskan.,the staff is friendly and the prices are very satisfying.,0.75,0.5125,positif
"Kamar bagus, dapat free ulang tahun. Kolam renang luas.","kamar bagus, dapat free ulang tahun. kolam renang luas.","nice room, get free birthday. spacious swimming pool.",0.9,0.5,positif
"Staff cepat membantu, kolam renang dan gym luas.","staff cepat membantu, kolam renang dan gym luas.","the staff is quick to help, the swimming pool and gym are spacious.",0.5,0.3333333333333333,positif
"Staf ramah-ramah, makanan enak, kolam renangmya juga enak buat berenang. Cuma kamar condotelnya agak sempit kamar mandinya. Kaya model Apartmen.","staf ramah-ramah, makanan enak, kolam renangmya juga enak buat berenang. cuma kamar condotelnya agak sempit kamar mandinya. kaya model apartmen.","friendly staff, good food, the swimming pool is also good for swimming. only the condotel room is a bit narrow, the bathroom. rich apartment model.",0.6416666666666667,0.325,positif
Mantap anak² seneng pasti balik lagi.,mantap anak² seneng pasti balik lagi.,"great, the kids are happy and will definitely come back again.",0.5625,0.4,positif
Pelayanan hotel bagus dan bersih.,pelayanan hotel bagus dan bersih.,hotel service is good and clean.,0.6500000000000001,0.5333333333333333,positif
"Sering nginap di sini karena staff hotel sangat ramah, makanan sangat enak dan bervariasi. Terima kasih.","sering nginap di sini karena staff hotel sangat ramah, makanan sangat enak dan bervariasi. terima kasih.","i often stay here because the hotel staff is very friendly, the food is very tasty and varied. thank you.",0.475,0.34375,positif
"Sangat menyenangkan staycation di el hotel bandung. Fasilitasnya lengkap, staff hotelmya juga ramah. Terima kasih elhotel Bandung","sangat menyenangkan staycation di el hotel bandung. fasilitasnya lengkap, staff hotelmya juga ramah. terima kasih elhotel bandung","very pleasant staycation at el hotel bandung. the facilities are complete, the hotel staff is also friendly. thank you elhotel bandung",0.6333333333333333,0.4761111111111111,positif
"Pesan 2 kamar tipe condotel studio. Pengalaman Saya selama menginap di sini sangat berkesan dan memuaskan, Pelayanan yang baik serta fasilitas yang bagus. Terima kasih El hotel Bandung","pesan 2 kamar tipe condotel studio. pengalaman saya selama menginap di sini sangat berkesan dan memuaskan, pelayanan yang baik serta fasilitas yang bagus. terima kasih el hotel bandung","book 2 studio condotel type rooms. my experience while staying here was very memorable and satisfying, good service and good facilities. thank you el hotel bandung",0.8,0.6375,positif
"Bikin betah, kamarnya bersih, nyaman, ac nya mantep. Next aku kesana lagi yaa.","bikin betah, kamarnya bersih, nyaman, ac nya mantep. next aku kesana lagi yaa.","makes you feel at home, the rooms are clean, comfortable, the air conditioning is great. i'll go there again next time.",0.5625,0.3916666666666667,positif
"Staf hotel ramah, pelayanannya luar biasa dan makanan nya enak-enak banget ke Braga tinggal jalan kaki pokonya next time pasti balik lagi. Thank you","staf hotel ramah, pelayanannya luar biasa dan makanan nya enak-enak banget ke braga tinggal jalan kaki pokonya next time pasti balik lagi. thank you","the hotel staff is friendly, the service is extraordinary and the food is really delicious. going to braga, just walk, next time you will definitely come back again. thank you",0.5,0.2847222222222222,positif
"Dapet kamar yang d upgrade tanpa biaya tambahan. Lantai kamar dapat tanpa memakai karpet jadi oke banget. Seluruh staf hotel ramah mulai dari receptionis, resto, cleaning service dan lain-lain. Fasilitas kolam renang yang oke, bersih dan nyaman. Recommended! Hatur nuhun El Hotel.","dapet kamar yang d upgrade tanpa biaya tambahan. lantai kamar dapat tanpa memakai karpet jadi oke banget. seluruh staf hotel ramah mulai dari receptionis, resto, cleaning service dan lain-lain. fasilitas kolam renang yang oke, bersih dan nyaman. recommended! hatur nuhun el hotel.","got an upgraded room at no extra cost. the room floor can be without carpet so it's really good. all hotel staff are friendly, starting from the receptionist, restaurant, cleaning service and others. the swimming pool facilities are okay, clean and comfortable. recommended! thank you el hotel.",0.47142857142857153,0.3488095238095238,positif
"+ kamar nyaman rapih, pusat kota,+ jalan jalan ke Braga malam hari seru banget.+kolam renang juga gak dingin paling utama dicari ini.+ stapnya baik-baik, enak dipandang ramah.🥰.- kamar tidak kedap suara.- keramik kolam renang ada yang lepas untuk kolam anak-anak.*saran tolong diperhatikan untuk pihak hotel agar segera diperbaiki karena takut berbahaya 🙏. Overall bagus😍kan lebih banyak + nya pasti soon akan kembali lagi kesini. Terima kasih El royal hotel bandung.","+ kamar nyaman rapih, pusat kota,+ jalan jalan ke braga malam hari seru banget.+kolam renang juga gak dingin paling utama dicari ini.+ stapnya baik-baik, enak dipandang ramah.🥰.- kamar tidak kedap suara.- keramik kolam renang ada yang lepas untuk kolam anak-anak.*saran tolong diperhatikan untuk pihak hotel agar segera diperbaiki karena takut berbahaya 🙏. overall bagus😍kan lebih banyak + nya pasti soon akan kembali lagi kesini. terima kasih el royal hotel bandung.","+ neat comfortable rooms, city center, + the walk to braga at night is really fun. + the swimming pool is also not cold, the main thing to look for. + the staff is good, pleasant to look at, friendly.🥰. - the rooms are not soundproof. - ceramic pool there is a swimming pool that is loose for the children's pool. overall it's good😍there's more + i'll definitely come back here soon. thank you el royal hotel bandung.",0.4391025641025641,0.24358974358974358,positif
"Baru pertama kali nginap di sini, bakal nginap di sini lagi kalo ke bandung.","baru pertama kali nginap di sini, bakal nginap di sini lagi kalo ke bandung.","just stayed here for the first time, will stay here again if i go to bandung.",0.3333333333333333,0.25,positif
"Puas banget nginep di sini. Staff sangat ramah, kamar sangat nyaman dan bersih. Breakfast pun makanan nya sangat enak. Request untuk city view dikasih beneran dong😁 minus nya hanya security nya saja kurang ramah dan kurang inisiatif. Saya baru pertama kali nginap di sini dan kebingungan masalah tempat parkir untuk motor, nanya security tapi jawaban nya jutek dan ketus. Itu aja sih kekurangannya, selebihnya good semua. Thank you El Hotel Bandung semoga next time bisa nginep di sini lagi☺️🙏🏻","puas banget nginep di sini. staff sangat ramah, kamar sangat nyaman dan bersih. breakfast pun makanan nya sangat enak. request untuk city view dikasih beneran dong😁 minus nya hanya security nya saja kurang ramah dan kurang inisiatif. saya baru pertama kali nginap di sini dan kebingungan masalah tempat parkir untuk motor, nanya security tapi jawaban nya jutek dan ketus. itu aja sih kekurangannya, selebihnya good semua. thank you el hotel bandung semoga next time bisa nginep di sini lagi☺️🙏🏻","really satisfied staying here. the staff is very friendly, the rooms are very comfortable and clean. breakfast was also very delicious. the request for a city view was actually given, the only downside was that the security was not friendly and lacked initiative. this is my first time staying here and was confused about parking for motorbikes, asked security but the answer was harsh and curt. that's the only downside, everything else is good. thank you el hotel bandung hopefully next time you can stay here again☺️🙏🏻",0.6630952380952381,0.21690476190476188,positif
"Sangat menyenangkan dan recommended buat berlibur, karena tempatnya Deket dari braga.","sangat menyenangkan dan recommended buat berlibur, karena tempatnya deket dari braga.","very pleasant and recommended for a holiday, because the place is close to braga.",1.0,0.9533333333333333,positif
"Staff Hotel semua sangat ramah, kebersihan terjaga.","staff hotel semua sangat ramah, kebersihan terjaga.","the hotel staff are all very friendly, cleanliness is maintained.",0.65,0.48750000000000004,positif
"Pool besar dan ada pool dewasa & anak, pilihan condotel atau hotel, akses near braga street. Ramah dan nyaman untuk family","pool besar dan ada pool dewasa & anak, pilihan condotel atau hotel, akses near braga street. ramah dan nyaman untuk family","large pool and there are adult & child pools, choice of condotel or hotel, access near braga street. friendly and comfortable for families",0.48571428571428577,0.23785714285714285,positif
Hotel yang family friendly khusunya yang condotelny,hotel yang family friendly khusunya yang condotelny,"family friendly hotels, especially condotels",0.75,0.1875,positif
Untuk ke 2 kali nya menginap di sini dan tetap puas dengan pelayanan serta fasilitas yang ada di hotel ini. Kamar bersih staff nya semuanya ramah dan lokasi nya dekat dengan braga yang utama ke hotel ini karena anak ku senang bisa lihat kereta lewat,untuk ke 2 kali nya menginap di sini dan tetap puas dengan pelayanan serta fasilitas yang ada di hotel ini. kamar bersih staff nya semuanya ramah dan lokasi nya dekat dengan braga yang utama ke hotel ini karena anak ku senang bisa lihat kereta lewat,"this is the second time staying here and remain satisfied with the service and facilities at this hotel. the rooms are clean, the staff are all friendly and the location is close to braga, which is the main thing for this hotel because my child loves being able to see the trains passing by",0.5263888888888889,0.3180555555555556,positif
Staff hotel ramah dan sangat membantu. Breakfast variatif dan rasanya lumayan enak.,staff hotel ramah dan sangat membantu. breakfast variatif dan rasanya lumayan enak.,the hotel staff is friendly and very helpful. breakfast is varied and tastes pretty good.,0.6000000000000001,0.38125,positif
"Ada 2 area breakfast di lobby lt1 dan lantai 4 dekat kolam renang, tapi menurut saya yang nyaman di lantai 4 karena areanya semi outdoor. Menu cukup variatif. Letak strategis dekat kawasan Braga cukup jalan kaki sj. Area parkir luas. Staff cukup ramah dan kooperatif.","ada 2 area breakfast di lobby lt1 dan lantai 4 dekat kolam renang, tapi menurut saya yang nyaman di lantai 4 karena areanya semi outdoor. menu cukup variatif. letak strategis dekat kawasan braga cukup jalan kaki sj. area parkir luas. staff cukup ramah dan kooperatif.","there are 2 breakfast areas in the lobby on the 1st floor and the 4th floor near the swimming pool, but in my opinion the most comfortable one is on the 4th floor because the area is semi-outdoor. the menu is quite varied. strategic location near the braga area, just walking distance. spacious parking area. the staff is quite friendly and cooperative.",0.52,0.29500000000000004,positif
Tempatnya nyaman luas fasilitas cukup lengkap~ de best deh~,tempatnya nyaman luas fasilitas cukup lengkap~ de best deh~,"the place is comfortable, spacious, the facilities are quite complete~ the best~",0.5000000000000001,0.5,positif
